Treatments,mOD_min_mg_protein,Block,Trials
CT,31.073,1,1
CT,394.08,2,1
CT,87.501,3,1
CT,60.001,4,1
CT,103.051,5,1
CT,126.759,6,1
MU,4249.21,1,1
MU,3293.888,2,1
MU,1432.473,3,1
MU,1975.112,4,1
MU,2909.785,5,1
MU,2250.517,6,1
PT,3698.087,1,1
PT,1384.821,2,1
PT,1042.825,3,1
PT,612.331,4,1
PT,1245.73,5,1
PT,1219.705,6,1
WT,1113.896,1,1
WT,1155.81,2,1
WT,1200.356,3,1
WT,5106.096,4,1
WT,487.809,5,1
WT,2515.094,6,1
CT,57.206,1,2
CT,773.145,2,2
CT,88.674,3,2
CT,143.786,4,2
CT,303.032,5,2
CT,112.522,6,2
MU,486.385,1,2
MU,1682.15,2,2
MU,3229.947,3,2
MU,2182.668,5,2
MU,1097.379,6,2
PT,561.938,1,2
PT,1103.545,2,2
PT,328.489,3,2
PT,1081.969,4,2
PT,1107.636,5,2
PT,654.726,6,2
WT,749.365,1,2
WT,1561.576,2,2
WT,1640.161,3,2
WT,1596.819,4,2
WT,1972.36,5,2
WT,686.158,6,2
CT,23.538,1,3
CT,73.034,2,3
CT,117.249,3,3
CT,85.003,4,3
CT,75.462,5,3
CT,124.437,6,3
CT,28.13,7,3
CT,116.832,8,3
CT,30.866,9,3
CT,66.447,10,3
MU,1345.557,1,3
MU,545.724,2,3
MU,1706.43,3,3
MU,2031.043,4,3
MU,1157.813,5,3
MU,289.733,6,3
MU,1434.103,7,3
MU,5887.792,8,3
MU,1844.048,9,3
MU,1431.743,10,3
PT,1152.778,1,3
PT,966.603,2,3
PT,1054.461,3,3
PT,977.113,4,3
PT,1079.876,5,3
PT,1188.194,6,3
PT,137.336,7,3
PT,963.243,8,3
PT,1565.022,9,3
PT,748.294,10,3
WT,810.682,1,3
WT,1043.802,2,3
WT,1928.948,3,3
WT,626.612,4,3
WT,773.477,5,3
WT,1091.016,6,3
WT,1655.939,7,3
WT,394.912,8,3
WT,656.245,9,3
WT,916.838,10,3
