Treatments,mOD_min_mg_protein,Block
CT,23.46,1
CT,78.962,2
CT,125.569,3
CT,95.294,4
CT,72.48,5
CT,128.003,6
CT,36.069,7
CT,141.643,8
CT,27.795,9
CT,66.019,10
MU,1685.168,1
MU,616.986,2
MU,2208.329,3
MU,2985.141,4
MU,1465.466,5
MU,305.391,6
MU,5239.19,7
MU,11961.718,8
MU,1930.97,9
MU,2598.608,10
PT,1459.807,1
PT,993.342,2
PT,1195.444,3
PT,1391.644,4
PT,1777.99,5
PT,1594.217,6
PT,158.094,7
PT,1982.911,8
PT,1578.709,9
PT,1095.838,10
WT,988.397,1
WT,1156.137,2
WT,10424.32,3
WT,897.292,4
WT,937.739,5
WT,8320.791,6
WT,2462.678,7
WT,559.083,8
WT,608.979,9
WT,1017.136,10
