Treatments,mOD_min_mg_protein,Block,Trials
CT,7690.293,1,1
CT,17477.378,2,1
CT,7086.446,3,1
CT,10526.169,4,1
CT,9161.478,5,1
CT,4817.569,6,1
MU,10795.485,1,1
MU,12956.142,2,1
MU,6573.102,3,1
MU,8656.44,4,1
MU,11654.742,5,1
MU,10668.758,6,1
PT,12994.48,1,1
PT,7441.014,2,1
PT,8126.308,3,1
PT,7101.706,4,1
PT,6681.049,5,1
PT,11539.436,6,1
WT,7129.447,1,1
WT,4649.143,2,1
WT,4426.942,3,1
WT,12826.978,4,1
WT,9042.865,5,1
WT,11353.505,6,1
CT,7126.906,1,2
CT,12983.973,2,2
CT,3063.61,3,2
CT,3564.78,4,2
CT,4944.984,5,2
CT,2999.592,6,2
MU,4367.934,1,2
MU,11393.758,2,2
MU,14344.481,3,2
MU,72271.944,4,2
MU,8550.242,5,2
MU,9025.3,6,2
PT,4453.603,1,2
PT,9987.914,2,2
PT,6058.846,3,2
PT,5631.057,4,2
PT,3349.522,5,2
PT,6204.807,6,2
WT,6234.861,1,2
WT,12384.21,2,2
WT,10326.962,3,2
WT,10201.416,4,2
WT,16275.422,5,2
WT,4701.42,6,2
CT,2437.062,1,3
CT,3087.456,2,3
CT,3980.085,3,3
CT,5322.527,4,3
CT,4045.414,5,3
CT,5060.875,6,3
CT,4403.531,7,3
CT,7289.535,8,3
CT,4675.512,9,3
CT,3845.518,10,3
MU,3539.07,1,3
MU,3590.358,2,3
MU,6001.335,3,3
MU,5700.82,4,3
MU,3032.377,5,3
MU,4277.468,6,3
MU,8111.309,7,3
MU,5579.849,8,3
MU,2827.028,9,3
MU,5423.62,10,3
PT,4970.803,1,3
PT,2981.472,2,3
PT,7018.738,3,3
PT,5443.5,4,3
PT,6440.191,5,3
PT,6250.871,6,3
PT,4450.553,7,3
PT,9739.257,8,3
PT,4919.187,9,3
PT,4148.58,10,3
WT,4171.676,1,3
WT,2778.994,2,3
WT,12295.147,3,3
WT,5263.801,4,3
WT,3521.584,5,3
WT,4925.159,6,3
WT,7762.452,7,3
WT,6549.452,8,3
WT,2327.931,9,3
WT,2941.478,10,3
