Treatments,mOD_min_mg_protein,Block
CT,2429.067,1
CT,3338.091,2
CT,4262.504,3
CT,5966.924,4
CT,3885.546,5
CT,5205.907,6
CT,5646.241,7
CT,8837.594,8
CT,4210.278,9
CT,3820.776,10
MU,4432.31,1
MU,4059.193,2
MU,7766.46,3
MU,8378.824,4
MU,3838.14,5
MU,4508.641,6
MU,29632.935,7
MU,11336.097,8
MU,2960.285,9
MU,9843.848,10
PT,6294.721,1
PT,3063.95,2
PT,7957.155,3
PT,7752.853,4
PT,10603.619,5
PT,8386.886,6
PT,5123.225,7
PT,20049.02,8
PT,4962.208,9
PT,6075.382,10
WT,5086.179,1
WT,3078.072,2
WT,66444.81,3
WT,7537.626,4
WT,4269.453,5
WT,37562.436,6
WT,11544.16,7
WT,9272.151,8
WT,2160.263,9
WT,3263.266,10
